Duration (seconds),How familiar are you with your company's immigration policies?,How many employees work at your company?,What industry is your company in? (modified),What industry is your company in?,What state is your company headquartered in?,Do you have a written immigration policy today?,Does your company hire candidates on H-1B visas?,Do you require that the H-1B candidate has a minimum amount of time remaining in their overall 6-year maximum for them to be eligible for hire?,How many months must be remaining in their H-1B status (time before max out)? Please leave blank if unsure; use the arrow button below to move forward.,Months before H-1B maxout (modified),Are H-1B employees eligible for Green Card sponsorship?,How many months after the employee's start date are H-1B employees eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from H-1B (modified),Does your company sponsor L-1 visas?,Are L-1 employees eligible for H-1B lottery sponsorship?,How many months after the L-1 employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from L-1 (modified),Are L-1 employees eligible for Green Card sponsorship?,How many months after the L-1 employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from L-1 (modified),Does your company sponsor F-1 OPT visas?,Do you require that the F-1 OPT candidate has a minimum time period of OPT or STEM OPT remaining for them to be eligible for hire?,How many months must be remaining in their F-1 status (time before max out)?Please leave blank if unsure; use the arrow button below to move forward.,Months before F-1 OPT maxout (modified),"Does your company sponsor single intent visas (e.g. TN, E-2, E-3, O-1) that can be renewed indefinitely?",Are single intent visa employees eligible for H-1B lottery sponsorship?,How many months after the single intent visa employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from single intent (modified),Are single intent visa employees eligible for Green Card sponsorship?,How many months after the single intent visa employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start-date for GC eligibility from single intent (modified),How many months before an employee's status expiration do you initiate an extension?Please leave blank if unsure; use the arrow button below to move forward.,Months left before expiry to initiate extension (modified) ,When are employees eligible to start with your company after an H-1B transfer has been filed?,Does your company support the maintenance of the employee's underlying nonimmigrant visa once an I-485 is pending?,Do you limit which occupations/jobs you are willing to sponsor for a non-immigrant visa?,"To show that you are paying attention, please select ""none of the above"" option as your answer.","For PERM-based Green Cards, the employer is required to cover the cost of the PERM but either the employer or employee can cover the cost of the I-140 and I-485 processes. What portion of I-140 costs do you cover?",What portion of I-485 costs do you cover?,Do you cover Green Card processing costs for the employee's dependent family members?,"If an application is filed with USCIS' Premium Processing option, who covers the cost?",What portion of consular processing costs do you cover when an employee goes abroad to obtain a visa stamp?,Will you cover travel expenses related to consular processing of visa applications?,,Do you cover non-immigrant visa costs for the employee's dependent family members?,Do you have a liquidated damages clause that allows you to recoup immigration fees when an employee leaves your company within a specific time period?,What is the tenure threshold below which the liquidated damages clause applies in months?Please leave blank if unsure; use the arrow button below to move forward.,Tenure of liquidated damages clause (modified) ,What percent of damages are you seeking to recover?Please leave blank if unsure; use the arrow button below to move forward.,Percent of damages recovered (modified),Who is responsible for immigration costs at your company?,Do you share a complete copy of an employee's immigration filings with the employee to bring to consular appointments?,"Do you share case tracking numbers (e.g. receipt number, PERM case number) and government notices (e.g. receipt notice, approval notice) with the employee?",Session ID,Publish ID,Count of State Responses,Count of Industry Responses,SizeProxy,[AI]Proxy,Power of One
128,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Business Support & Logistics,Business Support & Logistics,FL,Yes,Yes,I don't know,,,Yes,,,Yes,Yes,28,36,Yes,23,24,Yes,No,,,Yes,I don't know,,,No,,,26,36,Immediately upon USCIS receipt of application,No,No,None of the above,Some,All,We cover no costs for dependent family members,We always cover the cost when Premium Processing is used,Some,No,,We cover all costs for all dependent family members,Yes,15,24,,,Human Resources,Sometimes,Yes,74c9c5f4-9a5f-440c-96ec-eecc927c01fc,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,53,#REF!,#REF!,1
178,It is a primary function of my job role,3. 51-200,Education,Education,FL,Yes,Yes,No,,,Yes,6,6,Yes,Yes,6,6,Yes,6,6,Yes,Yes,6,6,Yes,Yes,6,6,Yes,6,6,5,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover no costs for dependent family members,Yes,6,6,6,5,Human Resources,Sometimes,Yes,8be95aa7-167d-4d33-a07d-3c771e2d2907,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,46,#REF!,#REF!,1
202,It is a primary function of my job role,3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,MO,No,No,,,,,,,No,,,,,,,No,,,,Yes,I don't know,,,Yes,,,6,6,Immediately upon USCIS receipt of application,I don't know,I don't know,None of the above,I don't know,Some,We cover no costs for dependent family members,I don't know,Some,No,,We cover no costs for dependent family members,Yes,12,12,100,100,Human Resources,I don't know,I don't know,21427325-77eb-428b-be2d-e0ed046cae97,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,11,98,#REF!,#REF!,1
253,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Nonprofit,Nonprofit,CT,Yes,Yes,No,,,Yes,6,6,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS approval,Yes,Yes,None of the above,All,All,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover some costs for dependent family members,No,,,,,Human Resources,Always,No,70e9be34-b447-4533-a38f-b41a4beb17d2,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,5,15,#REF!,#REF!,1
119,It is a primary function of my job role,4. 201-500,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,IL,Yes,Yes,Yes,1,6,Yes,1,6,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS approval,Yes,No,None of the above,All,None,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,,,4,5,Human Resources,Always,Yes,cc70ef43-545d-4809-b0a1-2fe9c848e9b5,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,14,98,#REF!,#REF!,1
381,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Finance & Financial Services,Finance & Financial Services,MO,Yes,No,,,,,,,Yes,I don't know,,,Yes,,,No,,,,No,,,,,,,0,0,Upon USCIS approval,No,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,Yes,12,12,100,100,Human Resources,Always,Yes,20561fa5-4afc-4303-8666-e9c317d9d317,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,11,24,#REF!,#REF!,1
227,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,"Telecommunications, Technology, Internet & Electronics","Telecommunications, Technology, Internet & Electronics",IL,Yes,Yes,No,,,I don't know,,,Yes,I don't know,,,I don't know,,,Yes,Yes,6,6,Yes,I don't know,,,I don't know,,,12,12,Upon USCIS issuance of receipt notice,I don't know,No,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,No,c79080af-3762-43af-b238-09f0624ebcda,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,14,24,#REF!,#REF!,1
451,It is a primary function of my job role,4. 201-500,Food & Beverages,Food & Beverages,MD,No,Yes,Yes,2,6,Yes,5,6,Yes,Yes,2,6,Yes,5,6,Yes,Yes,3,6,Yes,Yes,5,6,Yes,5,6,3,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,,,,,Human Resources,Always,Yes,3e3bd31b-d064-460e-8837-9e77f087ec4a,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,30,#REF!,#REF!,1
217,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,"Construction, Machinery and Homes","Construction, Machinery and Homes",TN,Yes,Yes,No,,,Yes,6,6,No,,,,,,,No,,,,Yes,Yes,12,12,I don't know,,,3,6,Immediately upon USCIS receipt of application,No,No,None of the above,All,All,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,13eabf41-380c-455a-9c91-1dc4bb224ca2,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,47,#REF!,#REF!,1
92,It is a primary function of my job role,"5. 501-1,000",Business Support & Logistics,Business Support & Logistics,DE,Yes,Yes,Yes,6,6,Yes,6,6,No,,,,,,,No,,,,No,,,,,,,6,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,Yes,6,6,50,50,Human Resources,Sometimes,Yes,67feff28-cea4-4b8e-ae53-845c97d9e2c1,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,3,53,#REF!,#REF!,1
175,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,Nonprofit,Nonprofit,TX,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,I don't know,Yes,None of the above,I don't know,I don't know,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,I don't know,I don't know,,We cover no costs for dependent family members,I don't know,,,,,Human Resources,Sometimes,I don't know,fc9ea939-67d3-44ab-b7bb-c9e1d9dd8941,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,15,#REF!,#REF!,1
263,"It is a part of my job role, and I collaborate with others as needed","7. 5,001-10,000",Transportation & Delivery,Delivery,CA,Yes,Yes,Yes,5,6,Yes,9,12,Yes,No,,,Yes,9,12,No,,,,Yes,Yes,9,12,Yes,9,12,2,6,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,Yes,4,6,,,Human Resources,Sometimes,Yes,e46c16b4-9ac7-4324-b66b-c02d8e63878b,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,9,#REF!,#REF!,1
134,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,OK,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Immediately upon USCIS receipt of application,No,No,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Sometimes,No,5e385702-3b23-41ac-93f3-924304a080a3,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,9,98,#REF!,#REF!,1
205,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+","Telecommunications, Technology, Internet & Electronics","Telecommunications, Technology, Internet & Electronics",PA,Yes,Yes,I don't know,,,I don't know,,,Yes,I don't know,,,I don't know,,,Yes,Yes,,,Yes,I don't know,,,I don't know,,,,,Immediately upon USCIS receipt of application,I don't know,I don't know,None of the above,I don't know,I don't know,We cover some costs for dependent family members,I don't know,I don't know,I don't know,,I don't know,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,Yes,94d5b032-f54a-44cd-870e-742e59f11b82,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,24,#REF!,#REF!,1
323,It is a primary function of my job role,1. 1-10,Business Support & Logistics,Business Support & Logistics,WV,Yes,Yes,No,,,Yes,6,6,No,,,,,,,No,,,,Yes,Yes,6,6,Yes,10,12,3,6,Immediately upon USCIS receipt of application,No,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,Yes,12,12,50,50,Human Resources,Always,Yes,d132f753-6011-414e-a97a-2f744669efcb,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,4,53,#REF!,#REF!,1
161,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,Education,Education,FL,No,No,,,,,,,Yes,I don't know,,,Yes,,,No,,,,Yes,Yes,,,Yes,,,5,6,Immediately upon USCIS receipt of application,Yes,No,None of the above,I don't know,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover all costs for all dependent family members,Yes,,,,,Human Resources,Sometimes,No,91da216b-02c9-4590-9221-3feb3dd88682,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,46,#REF!,#REF!,1
75,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Business Support & Logistics,Business Support & Logistics,CA,Yes,No,,,,,,,No,,,,,,,No,,,,Yes,Yes,2,6,Yes,3,6,3,6,Upon USCIS issuance of receipt notice,No,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,No,b8c373a8-8d5a-4d9b-b570-112507484d61,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,53,#REF!,#REF!,1
82,It is a primary function of my job role,3. 51-200,Advertising & Marketing,Advertising & Marketing,CA,Yes,Yes,Yes,,,Yes,,,No,,,,,,,Yes,No,,,Yes,No,,,Yes,,,,,Upon USCIS issuance of receipt notice,No,Yes,None of the above,Some,Some,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,All,Yes,,We cover some costs for dependent family members,Yes,,,,,Human Resources,Sometimes,Yes,dcf1f8cb-3a36-4a3e-9999-4c6b4d4b3f06,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,17,#REF!,#REF!,1
449,It is a primary function of my job role,"5. 501-1,000",Manufacturing,Manufacturing,NY,No,Yes,I don't know,,,Yes,5,6,Yes,Yes,3,6,Yes,3,6,No,,,,Yes,Yes,6,6,Yes,9,12,5,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,Some,Some,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,Yes,5,6,60,75,Human Resources,Sometimes,Yes,fe74ff70-93bf-4015-aee3-fa64307d230b,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,37,#REF!,#REF!,1
227,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Food & Beverages,Food & Beverages,TX,No,No,,,,,,,Yes,I don't know,,,No,,,Yes,I don't know,,,Yes,I don't know,,,I don't know,,,0,0,Upon USCIS issuance of receipt notice,I don't know,I don't know,None of the above,All,I don't know,We cover all costs for all dependent family members,I don't know,I don't know,No,,We cover all costs for all dependent family members,I don't know,,,,,Human Resources,Always,Yes,4c9ca0ec-c672-4204-88f7-96e58efcaaf0,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,30,#REF!,#REF!,1
133,It is a primary function of my job role,"6. 1,001-5,000",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,NY,Yes,Yes,Yes,5,6,No,,,Yes,Yes,6,6,Yes,8,12,No,,,,Yes,Yes,3,6,Yes,7,12,6,6,Immediately upon USCIS receipt of application,No,Yes,None of the above,All,All,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover all costs for all dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,Yes,20a32393-a8e5-44bc-82c3-071bf8f003f4,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,98,#REF!,#REF!,1
92,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,KY,No,No,,,,,,,Yes,I don't know,,,I don't know,,,No,,,,No,,,,,,,3,6,Immediately upon USCIS receipt of application,I don't know,I don't know,None of the above,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,I don't know,I don't know,,,,,Human Resources,Always,Yes,f09b6141-62ef-492a-b0a7-ebea64eb3a14,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,98,#REF!,#REF!,1
193,It is a primary function of my job role,"5. 501-1,000",Business Support & Logistics,Business Services,NY,Yes,Yes,No,,,Yes,12,12,Yes,Yes,12,12,Yes,12,12,No,,,,No,,,,,,,,,Immediately upon USCIS receipt of application,No,Yes,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,,,,,Human Resources,Always,Yes,f78dc727-7407-4c1f-b6c9-70dca2a375e5,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,53,#REF!,#REF!,1
666,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Automotive,Automotive,TX,No,Yes,Yes,6,6,Yes,6,6,No,,,,,,,Yes,Yes,6,6,Yes,Yes,6,6,Yes,10,12,6,6,Upon USCIS approval,Yes,Yes,None of the above,All,All,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,All,No,,We cover some costs for dependent family members,Yes,,,15,5,Human Resources,Always,Yes,0cd7ddf6-2034-4dd7-8d55-7e229127d2fd,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,13,#REF!,#REF!,1
156,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+",Education,Education,SC,Yes,Yes,Yes,24,24,Yes,,,No,,,,,,,No,,,,No,,,,,,,,,Immediately upon USCIS receipt of application,I don't know,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,I don't know,I don't know,,We cover some costs for dependent family members,Yes,,,,,Human Resources,Sometimes,I don't know,247869af-31e0-40c7-80d1-0fb9a3dd4da4,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,5,46,#REF!,#REF!,1
397,It is a primary function of my job role,3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,FL,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,I don't know,None of the above,Some,None,I don't know,We always cover the cost when Premium Processing is used,None,No,,We cover some costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,Yes,8ec9bdda-ce6b-473f-8151-9f6ab2cc5ad7,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,98,#REF!,#REF!,1
208,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,MN,Yes,Yes,No,,,Yes,,,No,,,,,,,Yes,I don't know,,,Yes,I don't know,,,I don't know,,,,,Upon USCIS approval,I don't know,Yes,None of the above,I don't know,I don't know,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,I don't know,I don't know,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,I don't know,f72157fb-91f4-44cb-b3a3-29b3bdf65046,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,98,#REF!,#REF!,1
320,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Business Support & Logistics,HR,TN,Yes,Yes,Yes,2,6,Yes,2,6,Yes,No,,,Yes,2,6,Yes,Yes,2,6,Yes,Yes,2,6,Yes,2,6,2,6,Upon USCIS approval,Yes,No,None of the above,All,All,We cover no costs for dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Never,No,533f1b23-d9e8-479e-bc14-9169716b8651,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,53,#REF!,#REF!,1
151,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Finance & Financial Services,Finance & Financial Services,OK,No,Yes,Yes,12,12,Yes,12,12,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS issuance of receipt notice,Yes,No,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,I don't know,Yes,12,12,100,100,Human Resources,Always,No,b78e7101-0ebb-4fb6-9f06-dba5293b1910,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,9,24,#REF!,#REF!,1
324,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,TX,No,No,,,,,,,Yes,I don't know,,,Yes,11,12,No,,,,Yes,Yes,5,6,Yes,5,6,4,6,Upon USCIS issuance of receipt notice,I don't know,I don't know,None of the above,Some,None,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,All,I don't know,,We cover some costs for dependent family members,Yes,5,6,75,75,Human Resources,Sometimes,No,a5eaf300-84bb-4b30-a799-a8a6214c1ec4,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,98,#REF!,#REF!,1
684,It is a primary function of my job role,4. 201-500,"Telecommunications, Technology, Internet & Electronics","Telecommunications, Technology, Internet & Electronics",FL,Yes,Yes,Yes,,,Yes,8,12,Yes,Yes,6,6,Yes,6,6,Yes,Yes,8,12,Yes,Yes,10,12,Yes,12,12,6,6,Upon USCIS approval,Yes,Yes,None of the above,All,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover all costs for all dependent family members,Yes,6,6,50,50,Human Resources,Sometimes,Yes,495d9987-9595-41fd-bb6f-3b252a74955f,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,24,#REF!,#REF!,1
196,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+","Telecommunications, Technology, Internet & Electronics",Computers,CA,Yes,Yes,I don't know,,,I don't know,,,Yes,I don't know,,,I don't know,,,No,,,,Yes,I don't know,,,Yes,,,,,Immediately upon USCIS receipt of application,I don't know,Yes,None of the above,All,All,I don't know,We always cover the cost when Premium Processing is used,I don't know,I don't know,,I don't know,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,I don't know,25937f39-5f69-48a4-8da6-438e99704f36,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,24,#REF!,#REF!,1
116,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Food & Beverages,Food & Beverages,KY,No,Yes,I don't know,,,I don't know,,,No,,,,,,,Yes,I don't know,,,Yes,Yes,,,I don't know,,,,,Immediately upon USCIS receipt of application,I don't know,I don't know,None of the above,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,I don't know,I don't know,,,,,Human Resources,Never,Yes,36fe7227-7b4c-4192-8493-7840324ef864,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,30,#REF!,#REF!,1
220,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,AR,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,6,6,Upon USCIS issuance of receipt notice,No,Yes,None of the above,Some,Some,We cover some costs for dependent family members,I don't know,I don't know,No,,I don't know,Yes,,,,,Human Resources,Sometimes,No,79dfb9d6-e0c8-468e-9737-1f3f7e18f15e,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,98,#REF!,#REF!,1
155,It is a primary function of my job role,2. 11-50,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,OH,No,Yes,I don't know,,,Yes,3,6,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS approval,I don't know,No,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,Yes,7ce43665-c208-4620-abf6-e0c95db5b7aa,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,16,98,#REF!,#REF!,1
100,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Automotive,Automotive,OH,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,No,I don't know,None of the above,I don't know,I don't know,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,Some,No,,We cover all costs for all dependent family members,Yes,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,,87a49bb6-ed33-46b8-a228-e222a62ac380,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,16,13,#REF!,#REF!,1
85,It is a primary function of my job role,4. 201-500,Education,Education,NY,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,Yes,None of the above,I don't know,I don't know,We cover no costs for dependent family members,I don't know,I don't know,I don't know,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,I don't know,36dbea05-7a5f-42a3-ad1e-bfe5a0a7d694,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,46,#REF!,#REF!,1
134,It is a primary function of my job role,"8. 10,000+",Retail & Consumer Durables,Retail & Consumer Durables,CA,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,,Yes,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,I don't know,I don't know,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,No,6e8f7d7a-5ced-465a-817a-a8ab9208ac94,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,46,#REF!,#REF!,1
352,It is a primary function of my job role,4. 201-500,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,IN,Yes,Yes,Yes,4,6,Yes,2,6,No,,,,,,,No,,,,Yes,Yes,6,6,Yes,3,6,3,6,Upon USCIS approval,Yes,No,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,I don't know,,We cover some costs for dependent family members,Yes,,,,,Human Resources,Sometimes,Yes,8a5a90dc-cee5-4ae9-8cfb-59a80fb41bd9,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,98,#REF!,#REF!,1
80,It is a primary function of my job role,2. 11-50,Education,Education,IL,Yes,Yes,Yes,29,36,I don't know,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,I don't know,None of the above,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,I don't know,I don't know,,,,,Human Resources,Always,Yes,a764157b-f4a5-4623-bb40-0875d2f12a2b,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,14,46,#REF!,#REF!,1
105,It is a primary function of my job role,2. 11-50,"Construction, Machinery and Homes","Construction, Machinery and Homes",IL,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,6,6,Immediately upon USCIS receipt of application,No,No,None of the above,All,All,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover all costs for all dependent family members,No,,,,,Human Resources,Always,Yes,2a9c96c7-eab4-40fc-9269-38d9c1626227,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,14,47,#REF!,#REF!,1
118,It is a primary function of my job role,3. 51-200,Finance & Financial Services,Finance & Financial Services,MA,Yes,Yes,Yes,8,12,I don't know,,,Yes,No,,,I don't know,,,No,,,,No,,,,,,,5,6,Upon USCIS issuance of receipt notice,I don't know,Yes,None of the above,Some,None,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,I don't know,00112b7e-8a7c-4713-987c-8f29ea47db1a,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,24,#REF!,#REF!,1
